1,x0,x1,x0^2,x0 x1,x1^2,sin(1 x0),cos(1 x0),sin(1 x1),cos(1 x1)
1.0,1.0,-0.0,1.0,-0.0,0.0,0.841,0.54,-0.0,1.0
1.0,0.58,-1.472,0.337,-0.855,2.168,0.548,0.836,-0.995,0.098
1.0,-0.326,-1.709,0.106,0.558,2.921,-0.321,0.947,-0.99,-0.138
1.0,-0.959,-0.512,0.92,0.491,0.262,-0.819,0.574,-0.49,0.872
1.0,-0.787,1.115,0.619,-0.878,1.244,-0.708,0.706,0.898,0.44
1.0,0.046,1.806,0.002,0.082,3.262,0.045,0.999,0.972,-0.233
1.0,0.84,0.981,0.705,0.824,0.963,0.745,0.668,0.831,0.556
1.0,0.929,-0.667,0.864,-0.62,0.445,0.801,0.598,-0.619,0.786
1.0,0.239,-1.756,0.057,-0.42,3.082,0.237,0.972,-0.983,-0.184
1.0,-0.652,-1.371,0.425,0.894,1.879,-0.607,0.795,-0.98,0.199
1.0,-0.996,0.164,0.992,-0.164,0.027,-0.839,0.544,0.164,0.987
1.0,-0.504,1.562,0.254,-0.787,2.439,-0.483,0.876,1.0,0.009
1.0,0.411,1.648,0.169,0.677,2.717,0.399,0.917,0.997,-0.077
1.0,0.981,0.352,0.962,0.345,0.124,0.831,0.556,0.345,0.939
1.0,0.728,-1.24,0.53,-0.902,1.538,0.665,0.747,-0.946,0.325
1.0,-0.136,-1.791,0.019,0.244,3.208,-0.136,0.991,-0.976,-0.219
1.0,-0.886,-0.839,0.785,0.743,0.704,-0.774,0.633,-0.744,0.668
1.0,-0.892,0.817,0.796,-0.729,0.668,-0.778,0.628,0.729,0.684
1.0,-0.15,1.788,0.022,-0.268,3.196,-0.149,0.989,0.977,-0.215
1.0,0.718,1.258,0.516,0.904,1.582,0.658,0.753,0.951,0.308
